Lithuania,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,47.855,59.5035332488,119.655334709,422.832905899,721.105078689,1041.36633212,1570.46495843,1990.14975313,2299.84616664,2085.91900073,2079.14887241,2520.75978511
,Developed economies,,,,,24.9975,34.2060759799,58.4808660077,306.028802525,499.848807642,725.859184915,1110.72458849,1488.89296936,1777.77731582,1637.35009004,1680.01423541,2117.66692249
,,Europe,,,,23.7775,32.1586036118,56.8842547337,304.107318998,499.707923854,725.67290146,1108.6628203,1488.67262415,1777.43638783,1636.80600789,1679.96553533,2117.59401381
,,,European Union,,,23.745,32.119345292,56.840809529,304.107318998,462.006047694,683.850364964,1058.38282708,1445.69306729,1734.23000166,1632.84033871,1678.87914887,2116.43898695
,,,,Austria,,,0.492238932174,,,,,,,,,,
,,,,Belgium,,,,0.74580934796,4.28881436181,3.6664146794,3.51657542579,4.77261157305,-2.32994654588,4.54432063862,4.29135215909,4.49913838316,6.27398311589
,,,,Bulgaria,,,,,,12.5214761872,19.985553528,15.7984048872,143.607948749,145.409945119,44.0859803058,47.2390799431,57.7513430545
,,,,Croatia,,,,,,2.11669301079,3.68385036496,2.22721873409,,,,,
,,,,Cyprus,,0.52,,16.8857029072,32.014203985,28.4550889973,53.102189781,66.116578992,112.751458767,135.340096458,216.391432622,223.731924777,192.359938603
,,,,Czech Republic,,,0.510358156671,0.818218022519,0.923259025449,3.09257095732,4.31873479319,2.59205837434,2.27282001061,0.661067686679,0.869765125101,1.19502509927,1.4773599386
,,,,Denmark,,,,,,,12.3897506083,13.2699813338,44.9300199943,87.6475968734,80.8919881988,71.2444744137,79.7544128933
,,,,Estonia,,10.3,12.5536027058,10.6947612324,19.980272243,39.9938148581,78.8359184915,110.737315459,121.042967315,50.7816397805,8.35281045251,61.7367198621,372.939370683
,,,,Finland,,,,,,1.18892172359,,,0.628391888032,2.86878430068,2.21081267482,2.35633475687,3.33077513431
,,,,France,,,,3.81231671554,4.02051686723,3.62174421002,5.93826034063,6.91074155778,9.0627167748,4.98087477133,4.52507758918,5.38323218701,6.46201074444
